2021-03-13 10:21:02,592 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple3')
2021-03-13 10:21:02,665 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple4')
2021-03-13 10:21:02,665 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple4')
2021-03-13 10:21:02,666 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple4')
2021-03-13 10:21:02,666 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple4')
2021-03-13 10:21:02,730 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 10:21:02,730 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 10:21:02,730 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-13 10:21:02,730 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-13 10:21:02,780 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:02,780 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:02,780 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:02,780 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:02,848 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:02,848 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:02,848 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:02,848 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:02,904 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple3')
2021-03-13 10:21:02,904 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple3')
2021-03-13 10:21:02,905 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple3')
2021-03-13 10:21:02,905 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple3')
2021-03-13 10:21:02,953 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple4')
2021-03-13 10:21:02,953 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple4')
2021-03-13 10:21:02,954 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple4')
2021-03-13 10:21:02,954 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple4')
2021-03-13 10:21:03,004 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleEqual')
